"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8762","@records should edit an existing Punch In/Out record","chromium","Wed Nov 05 21:45:03 UTC 2025","passed","Wed Nov 05 21:45:12 UTC 2025","Time Module – Attendance Records","time/time.records.spec.ts","",""
"","2367","username=""Admin"" / password=""wrong"" → Shows ""Invalid credentials""","chromium","Wed Nov 05 21:43:08 UTC 2025","passed","Wed Nov 05 21:43:10 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
"","14794","@records should delete all existing Punch records successfully","chromium","Wed Nov 05 21:46:15 UTC 2025","passed","Wed Nov 05 21:46:30 UTC 2025","Time Module – Attendance Records","time/time.records.spec.ts","",""
"","3594","should render core widgets, sidebar, and topbar correctly","chromium","Wed Nov 05 21:43:01 UTC 2025","passed","Wed Nov 05 21:43:04 UTC 2025","Dashboard layout validation","dashboard/dashboard.widgets.spec.ts","",""
"","23742","should navigate to Reset Password and confirm request","chromium","Wed Nov 05 21:43:29 UTC 2025","failed","Wed Nov 05 21:43:53 UTC 2025","Forgot Password Flow","login/forgot-password.spec.ts","",""
"","15867","@punch User performs Punch In and Punch Out successfully","chromium","Wed Nov 05 21:44:18 UTC 2025","passed","Wed Nov 05 21:44:33 UTC 2025","Time Module → Time Punch Creation","time/time.punch.spec.ts","",""
"","4166","should navigate from Time at Work to Punch In page","chromium","Wed Nov 05 21:43:54 UTC 2025","passed","Wed Nov 05 21:43:58 UTC 2025","Dashboard → Time navigation","time/time.navigation.spec.ts","",""
"","2190","username=""Admin"" / password=""admin123"" → Redirects to Dashboard","chromium","Wed Nov 05 21:43:06 UTC 2025","passed","Wed Nov 05 21:43:08 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
"","4327","should navigate from Time at Work to Punch In page","chromium","Wed Nov 05 21:43:01 UTC 2025","passed","Wed Nov 05 21:43:05 UTC 2025","Dashboard → Time navigation","dashboard/dashboard.to-time.spec.ts","",""
"","15862","@records should prevent duplicate Punch In entries","chromium","Wed Nov 05 21:43:39 UTC 2025","passed","Wed Nov 05 21:43:55 UTC 2025","Time Module → Duplicate Prevention","time/time.duplicate.spec.ts","",""
"","1566","username=""Admin"" / password="""" → Shows ""Required"" for Password","chromium","Wed Nov 05 21:43:14 UTC 2025","passed","Wed Nov 05 21:43:16 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
"","1571","username="""" / password=""admin123"" → Shows ""Required"" for Username","chromium","Wed Nov 05 21:43:13 UTC 2025","passed","Wed Nov 05 21:43:14 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
"","1566","username="""" / password="""" → Shows ""Required"" for both fields","chromium","Wed Nov 05 21:43:16 UTC 2025","passed","Wed Nov 05 21:43:17 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
"","2091","username=""wrong"" / password=""admin123"" → Shows ""Invalid credentials""","chromium","Wed Nov 05 21:43:10 UTC 2025","passed","Wed Nov 05 21:43:13 UTC 2025","Login Outcomes Matrix","login/login.matrix.spec.ts","",""
